affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
896284681;fcm travel solutions;FCm Travel Solutions;fcm travel solutions;;;
1281389954;foundation for innovative new diagnostics;Foundation for Innovative New Diagnostics;foundation for innovative new diagnostics;;;
1283532917;american refugee committee;American Refugee Committee;american refugee committee;;;
1285269432;el economista;El Economista;el economista;;;
1302598760;national ffa organization;National FFA Organization;national ffa organization;;;
1304256225;university of wisconsin system;University of Wisconsin System;university of wisconsin system;;;
1312846040;directorate general of traffic;Directorate General of Traffic;directorate general of traffic;;;
1313967475;american academy of arts and sciences;American Academy of Arts and Sciences;american academy of arts and sciences;;;
1314284307;wiley vch;Wiley-VCH;wiley-vch;;;
1315677300;puerto rico department of natural and environmental resources;Puerto Rico Department of Natural and Environmental Resources;puerto rico department of natural and environmental resources;;;
1318101084;integris baptist medical center;Integris Baptist Medical Center;integris baptist medical center;;;
1319467667;southern education and library board;Southern Education and Library Board;southern education and library board;;;
1321067030;zoological society of london;Zoological Society of London;zoological society of london;;;
1321573313;chesapeake regional medical center;Chesapeake Regional Medical Center;chesapeake regional medical center;;;
1329578906;wwf india;WWF-India;wwf-india;;;
1335486098;electric power research institute;Electric Power Research Institute;electric power research institute;;;
2799756090;columbus zoo and aquarium;Columbus Zoo and Aquarium;columbus zoo and aquarium;;;
2799891779;archaeological conservancy;Archaeological Conservancy;archaeological conservancy;;;
2800102685;santosh university;Santosh University;santosh university;;;
2800215711;robina hospital;Robina Hospital;robina hospital;;;
2800363604;walter reed national military medical center;Walter Reed National Military Medical Center;walter reed national military medical center;;;
2800464100;birmingham community healthcare nhs trust;Birmingham Community Healthcare NHS Trust;birmingham community healthcare nhs trust;;;
2800486126;central norway regional health authority;Central Norway Regional Health Authority;central norway regional health authority;;;
2800557468;utah state university eastern;Utah State University Eastern;utah state university eastern;;;
2800616835;engineers without borders canada;Engineers Without Borders Canada;engineers without borders canada;;;
2800620092;sarojini devi eye hospital;Sarojini Devi Eye Hospital;sarojini devi eye hospital;;;
2800842210;carter bloodcare;Carter BloodCare;carter bloodcare;;;
2800941145;umrao hospital;Umrao Hospital;umrao hospital;;;
2801005815;egyptian e learning university;Egyptian e-Learning University;egyptian e-learning university;;;
2801163536;west herts college;West Herts College;west herts college;;;
2801285164;grantham hospital;Grantham Hospital;grantham hospital;;;
2801376285;scott community college;Scott Community College;scott community college;;;
2801911633;king fahd medical city;King Fahd Medical City;king fahd medical city;;;
2802005960;society for modeling and simulation international;Society for Modeling and Simulation International;society for modeling and simulation international;;;
2802056670;seasteading institute;Seasteading Institute;seasteading institute;;;
2802308956;raffles college of design and commerce;Raffles College of Design and Commerce;raffles college of design and commerce;;;
2802356059;tsuen wan adventist hospital;Tsuen Wan Adventist Hospital;tsuen wan adventist hospital;;;
2802542201;odessa college;Odessa College;odessa college;;;
2802681329;wekerle business school;Wekerle Business School;wekerle business school;;;
2802814319;northern hospital;Northern Hospital;northern hospital;;;
2802983449;centre for life;Centre for Life;centre for life;;;
2803094843;central board of secondary education;Central Board of Secondary Education;central board of secondary education;;;
2911870961;takaoka university of law;Takaoka University of Law;takaoka university of law;;;
596593;society for the psychological study of social issues;Society for the Psychological Study of Social Issues;society for the psychological study of social issues;;;
9508535;arkansas tech university;Arkansas Tech University;arkansas tech university;;;
12240146;australian institute of sport;Australian Institute of Sport;australian institute of sport;;;
12367965;ariad pharmaceuticals inc;ARIAD Pharmaceuticals, Inc.;ariad pharmaceuticals, inc.;;;
25112270;federal university of pernambuco;Federal University of Pernambuco;federal university of pernambuco;Federal University of Pernambuco;Brazil;
27941296;sahmyook university;Sahmyook University;sahmyook university;;;
34625448;m h saboo siddik college of engineering;M. H. Saboo Siddik College of Engineering;m. h. saboo siddik college of engineering;;;
36786129;fluke corporation;Fluke Corporation;fluke corporation;;;
38182162;northwest vista college;Northwest Vista College;northwest vista college;;;
41641357;ege university;Ege University;ege university;Ege University;Turkey;
47141704;daewoong pharmaceutical co ltd;Daewoong Pharmaceutical Co., Ltd;daewoong pharmaceutical co., ltd;;;
49439280;kyrgyz national university;Kyrgyz National University;kyrgyz national university;;;
51195161;emlyon business school;EMLYON Business School;emlyon business school;;;
56016603;m kumarasamy college of engineering;M. Kumarasamy College of Engineering;m. kumarasamy college of engineering;;;
58422712;international livestock research institute;International Livestock Research Institute;international livestock research institute;;;
65571275;concord university;Concord University;concord university;;;
66809481;southern cross university;Southern Cross University;southern cross university;;;
71564117;murray edwards college;Murray Edwards College;murray edwards college;;;
72023434;doshisha women s college of liberal arts;Doshisha Women's College of Liberal Arts;doshisha women's college of liberal arts;;;
75900474;hubei university;Hubei University;hubei university;Hubei University;China;
77697173;federal reserve bank of chicago;Federal Reserve Bank of Chicago;federal reserve bank of chicago;;;
78613837;institute of technical education;Institute of Technical Education;institute of technical education;;;
79940851;university of brescia;University of Brescia;university of brescia;;;
88268686;national aviation academy;National Aviation Academy;national aviation academy;;;
89020219;tokyo kasei gakuin university;Tokyo Kasei-Gakuin University;tokyo kasei-gakuin university;;;
90656587;national bank of poland;National Bank of Poland;national bank of poland;;;
95056601;actelion;Actelion;actelion;;;
97187500;cubist pharmaceuticals;Cubist Pharmaceuticals;cubist pharmaceuticals;;;
99383213;indian institute of plantation management;Indian Institute of Plantation Management;indian institute of plantation management;;;
102335020;karlsruhe institute of technology;Karlsruhe Institute of Technology;karlsruhe institute of technology;Karlsruhe Institute of Technology;Germany;
