affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
2802367119;tenri hospital;Tenri Hospital;tenri hospital;;;
2802466663;state museum of natural history karlsruhe;State Museum of Natural History Karlsruhe;state museum of natural history karlsruhe;;;
2802662215;tinker air force base;Tinker Air Force Base;tinker air force base;;;
2802710900;czech olympic committee;Czech Olympic Committee;czech olympic committee;;;
2802723752;derriford hospital;Derriford Hospital;derriford hospital;;;
2802862141;north okkalapa general hospital;North Okkalapa General Hospital;north okkalapa general hospital;;;
2802865615;pennsylvania coalition against rape;Pennsylvania Coalition Against Rape;pennsylvania coalition against rape;;;
2802999702;regional municipality of niagara;Regional Municipality of Niagara;regional municipality of niagara;;;
2803035111;fundamental research on matter institute for atomic and molecular physics;Fundamental Research on Matter Institute for Atomic and Molecular Physics;fundamental research on matter institute for atomic and molecular physics;;;
2803051454;jack miller center;Jack Miller Center;jack miller center;;;
2945732944;lyft;Lyft;lyft;;;
443798;national defense academy of japan;National Defense Academy of Japan;national defense academy of japan;;;
8764889;university of gondar;University of Gondar;university of gondar;;;
11193315;instituto superior de contabilidade e administracao do porto;Instituto Superior de Contabilidade e Administracao do Porto;instituto superior de contabilidade e administracao do porto;;;
16103854;remote sensing center;Remote Sensing Center;remote sensing center;;;
33523713;civil aeronautics administration;Civil Aeronautics Administration;civil aeronautics administration;;;
35637935;tallahassee community college;Tallahassee Community College;tallahassee community college;;;
36152291;henan university of technology;Henan University of Technology;henan university of technology;;;
37415318;bates college;Bates College;bates college;;;
38007976;de lin institute of technology;De Lin Institute of Technology;de lin institute of technology;;;
38574745;amp capital;AMP Capital;amp capital;;;
39553462;national university of san juan;National University of San Juan;national university of san juan;;;
43518871;national kaohsiung marine university;National Kaohsiung Marine University;national kaohsiung marine university;;;
46520130;chaohu university;Chaohu University;chaohu university;;;
48350267;central japan railway company;Central Japan Railway Company;central japan railway company;;;
51205905;kedge business school;KEDGE Business School;kedge business school;;;
51993856;cri;CRI;cri;;;
60158472;concordia university;Concordia University;concordia university;Concordia University;Canada;
60341648;the evergreen state college;The Evergreen State College;the evergreen state college;;;
60922557;upper iowa university;Upper Iowa University;upper iowa university;;;
67868205;hanoi university of science;Hanoi University of Science;hanoi university of science;;;
68243183;institute of molecular biology and genetics of nasu;Institute of Molecular Biology and Genetics of NASU;institute of molecular biology and genetics of nasu;;;
73650269;nomura research institute;Nomura Research Institute;nomura research institute;;;
74813324;mekelle university;Mekelle University;mekelle university;;;
75522678;tokyo university of science yamaguchi;Tokyo University of Science, Yamaguchi;tokyo university of science, yamaguchi;;;
79619799;university of birmingham;University of Birmingham;university of birmingham;University of Birmingham;United Kingdom;
90060838;africa rice center;Africa Rice Center;africa rice center;;;
98905743;kastamonu university;Kastamonu University;kastamonu university;;;
99418890;northwestern polytechnic university;Northwestern Polytechnic University;northwestern polytechnic university;;;
100417612;cj cheiljedang;CJ CheilJedang;cj cheiljedang;;;
100801824;madras institute of technology;Madras Institute of Technology;madras institute of technology;;;
109780856;argosy university;Argosy University;argosy university;;;
118073183;meharry medical college;Meharry Medical College;meharry medical college;;;
119234918;university of northern iowa;University of Northern Iowa;university of northern iowa;;;
124726342;hong duc university;Hong Duc University;hong duc university;;;
125968788;norwegian geotechnical institute;Norwegian Geotechnical Institute;norwegian geotechnical institute;;;
136605902;royal college of music;Royal College of Music;royal college of music;;;
142899784;university of sfax;University of Sfax;university of sfax;University of Sfax;Tunisia;
144302436;rijkswaterstaat;Rijkswaterstaat;rijkswaterstaat;;;
148212101;new era university;New Era University;new era university;;;
149899117;max planck society;Max Planck Society;max planck society;;;
156762387;addis continental institute of public health;Addis Continental Institute of Public Health;addis continental institute of public health;;;
156802259;eastern virginia medical school;Eastern Virginia Medical School;eastern virginia medical school;;;
166382143;moscow state university of printing arts;Moscow State University of Printing Arts;moscow state university of printing arts;;;
180498684;metropolitan university prague;Metropolitan University Prague;metropolitan university prague;;;
183003952;ilia state university;Ilia State University;ilia state university;;;
187521650;county college of morris;County College of Morris;county college of morris;;;
197358716;wirral metropolitan college;Wirral Metropolitan College;wirral metropolitan college;;;
199440890;american university of sharjah;American University of Sharjah;american university of sharjah;;;
200492978;coimbatore institute of technology;Coimbatore Institute of Technology;coimbatore institute of technology;;;
206192294;center for european integration studies;Center for European Integration Studies;center for european integration studies;;;
221092938;krishna university;Krishna University;krishna university;;;
236957219;notre dame seishin university;Notre Dame Seishin University;notre dame seishin university;;;
243062068;mahle powertrain;MAHLE Powertrain;mahle powertrain;;;
261911118;bahrain petroleum company;Bahrain Petroleum Company;bahrain petroleum company;;;
292141241;munich school of philosophy;Munich School of Philosophy;munich school of philosophy;;;
861081372;selkirk college;Selkirk College;selkirk college;;;
884084634;john snow inc;John Snow, Inc;john snow, inc;;;
887689190;axioma;Axioma;axioma;;;
