,affiliationid,country
1063,88261127,GBR
1064,94722563,FIN
1065,98220444,NGA
1066,100051649,RUS
1067,107603542,GBR
1068,108908187,IND
1069,109173049,CHN
1070,111713297,USA
1071,113741061,PHL
1072,113979032,USA
1073,119241673,IND
1074,120386524,IND
1075,130343225,MYS
1076,130923123,EST
1077,141509744,THA
1078,146644014,USA
1079,149737662,USA
1080,152838632,CHN
1081,154100641,USA
1082,157703844,BIH
1083,158123994,JPN
1084,159737355,MEX
1085,161592783,ITA
1086,162185876,BRA
1087,165368041,ISL
1088,166088655,USA
1089,179225836,DEU
1090,185938000,MEX
1091,190861549,FRA
1092,202047831,USA
1093,206917445,USA
1094,230786158,GBR
1095,245515587,USA
1096,290569820,ALA
1097,319074055,CAN
1098,338987037,BEL
1099,871700966,USA
1100,876889493,JPN
1101,895455137,USA
1102,901017165,USA
1103,922474255,JPN
1104,925020785,NLD
1105,928334797,IRN
1106,1282284126,USA
1107,1288067677,USA
1108,1290221998,USA
1109,1299907687,USA
1110,1308348181,CAN
1111,1309016818,USA
1112,1316499981,SWE
1113,1317029613,USA
1114,1319166339,USA
1115,2799318520,USA
1116,2799320822,USA
1117,2799379113,SAU
1118,2799400421,GBR
1119,2799424032,USA
1120,2799567177,USA
1121,2799690218,USA
1122,2799717493,USA
1123,2799807050,USA
1124,2799809996,USA
1125,2799941125,IRL
1126,2800271471,GBR
1127,2800486126,NOR
1128,2800495676,GBR
1129,2800807357,USA
1130,2800820611,KOR
1131,2801043750,USA
1132,2801582476,IRN
1133,2801702883,JPN
1134,2801706165,USA
1135,2802237329,USA
1136,2802239656,USA
1137,2802288015,USA
1138,2802336062,USA
1139,2802521088,USA
1140,2802580895,USA
1141,2802622306,NOR
1142,2802705668,USA
1143,2808332139,AUS
1144,4517696,SAU
1145,8616870,USA
1146,11331106,JPN
1147,14303183,USA
1148,16969244,SWZ
1149,19128659,IDN
1150,19250435,USA
1151,20486734,USA
1152,28158892,USA
1153,29606459,USA
1154,29894533,AUS
1155,32108227,AUS
1156,32303042,TWN
1157,33308869,USA
1158,40900055,AUS
1159,45164037,PAK
1160,48763118,FRA
1161,54009628,DEU
1162,54880866,USA
1163,56858762,ARG
1164,60134161,JPN
1165,63346067,IND
1166,74614422,USA
1167,82549287,USA
1168,83987012,JPN
1169,88467170,FRA
1170,89813779,USA
1171,90344618,GBR
1172,93393672,USA
1173,94511900,IND
1174,94624287,NLD
1175,94658018,USA
1176,100799951,GBR
1177,106349282,IND
1178,110217816,KOR
1179,120156002,USA
1180,126477371,MAR
1181,127319611,NLD
1182,128649747,ITA
1183,134697316,NZL
1184,139330544,USA
1185,140141095,AUS
